gene_id,S7F_he_10_6_6h_1,S7F_he_30_6_6h_3,S7F_he_DMSO_6h_1,S7F_he_DMSO_6h_2,S7F_he_DMSO_6h_3,ctr,exp,FDR,AveExpr,P value,S7F_he_30_6_6h_3 CPM,S7F_he_DMSO_6h_1 CPM,S7F_he_DMSO_6h_2 CPM,S7F_he_10_6_6h_1 CPM,S7F_he_DMSO_6h_3 CPM
Tco_011606,440,794,3466,2043,284,0,-2.64933598615855,5.72424768835839e-7,6.76964274671981,4.92129891759318e-9,64.417,262.082,159.364,28.308,24.568
Tco_007141,95,713,723,724,113,0,-2.85023125808331,0.0000013580571612707,5.22090109945249,1.19828573053297e-8,57.846,54.670,56.475,6.112,9.775
Tco_000799,28,89736,80721,8911,595,0,-7.48780087483366,0.00000160086264488342,11.4877903862159,1.44874447500762e-8,7280.264,6103.739,695.100,1.801,51.473
Tco_002033,458,2613,748,1532,232,0,-2.4020540507462,0.00000175171250363016,6.45352829618763,1.62489168888771e-8,211.992,56.560,119.503,29.466,20.070
Tco_017057,2061,687,657,458,1158,0,1.27774845394699,0.0000043150653806983,6.22325833966541,4.10028837079929e-8,55.736,49.679,35.726,132.599,100.177
Tco_010058,784,1336,1274,1243,555,0,-1.05490519346684,0.000010412788217509,6.3286640277313,1.0130088084907e-7,108.389,96.334,96.960,50.440,48.012
Tco_017104,1964,771,759,568,1328,0,1.11188542411629,0.0000109721950760614,6.34085662967241,1.09225471345408e-7,62.551,57.392,44.307,126.358,114.883
Tco_002034,49,727,241,838,30,0,-4.05382165378228,0.0000128669331478972,4.8929178786664,1.30998188157324e-7,58.981,18.223,65.368,3.153,2.595
Tco_000767,406,1612,686,1213,378,0,-1.66921684306387,0.000020106179626475,6.07363818754819,2.09249833216709e-7,130.781,51.872,94.620,26.121,32.700
Tco_019581,1739,15834,17398,7591,2195,0,-2.84777628970085,0.0000562128728245041,9.46454535998864,5.97738692930247e-7,1284.609,1315.554,592.134,111.882,189.886
Tco_000600,450,1262,805,822,405,0,-1.26738662826796,0.0000829322134627697,5.87156517305851,9.00621322672612e-7,102.386,60.870,64.120,28.952,35.036
Tco_003244,570,768,1168,996,424,0,-1.0803066010687,0.000108924711290867,5.92410195101346,0.00000123217999197813,62.308,88.319,77.693,36.672,36.680
Tco_011771,3338,1251,1369,1037,2324,0,1.09740362509329,0.00011117097468591,7.13097909721987,0.00000128274201560666,101.493,103.517,80.891,214.757,201.046
Tco_002066,2418,787,513,831,1194,0,1.19287059593953,0.00012523511521577,6.40843224430992,0.00000147335429665612,63.849,38.791,64.822,155.567,103.291
Tco_009408,814,2518,2360,3710,1205,0,-1.53256493248692,0.000129975806647298,7.37528443666869,0.00000155853342812371,204.285,178.452,289.397,52.370,104.243
Tco_021364,1107,1939,1791,2896,907,0,-1.22601244258637,0.000142145345531995,7.06376919922701,0.00000173661734360356,157.311,135.427,225.902,71.221,78.463
Tco_003420,1584,594,361,463,830,0,1.20108851253758,0.000166964085171866,5.83172591687927,0.00000207760739467254,48.191,27.297,36.116,101.910,71.802
Tco_006635,1015,2045,2457,2002,1047,0,-1.14515539875604,0.000194719571611024,7.06045358372384,0.00000251108949815122,165.910,185.787,156.165,65.302,90.574
Tco_004592,757,945,1905,1591,563,0,-1.26668781961152,0.000198650246154537,6.47614594503644,0.00000265166618170084,76.668,144.047,124.105,48.703,48.704
Tco_001831,1437,2115,2693,2361,1107,0,-1.01272023409453,0.000300984380206572,7.23067300035355,0.00000422195284452657,171.590,203.632,184.169,92.452,95.765
Tco_012173,506,5950,3428,2321,1191,0,-2.20306790957257,0.000376661488009577,7.73582641586181,0.00000536870446710483,482.722,259.209,181.049,32.555,103.032
Tco_019403,5122,2434,1983,1489,4354,0,1.16626202994714,0.000417235540816081,7.86753697409371,0.00000604141959552697,197.470,149.945,116.149,329.534,376.658
Tco_011718,412,751,1083,906,459,0,-1.13152653029052,0.000638360776121052,5.81579584843187,0.00000938765847236842,60.928,81.891,70.672,26.507,39.707
Tco_009375,1415,2967,3505,3405,1682,0,-1.14328012998275,0.000714352808134166,7.66121060972363,0.0000106668066372975,240.712,265.031,265.606,91.037,145.507
Tco_010126,1253,560,390,397,916,0,1.15571811079042,0.000803936277729394,5.73121743878622,0.0000121863643909207,45.433,29.490,30.968,80.614,79.242
Tco_000955,3385,732,1325,446,1889,0,1.51737109794413,0.000856305286567843,6.84639834771752,0.0000131739274856591,59.387,100.190,34.790,217.781,163.415
Tco_015199,744,1615,1201,1434,742,0,-1.0108357565816,0.000893158281108791,6.48243436699311,0.0000139429686417436,131.025,90.814,111.859,47.867,64.189
Tco_006339,2179,950,779,525,1332,0,1.08617063982115,0.000962472654322896,6.43318604934619,0.000015242779593349,77.073,58.904,40.952,140.190,115.229
Tco_019908,7272,1761,2676,1655,3255,0,1.21117081435382,0.00108022637310141,7.93193164132394,0.0000173520525995927,142.870,202.346,129.098,467.859,281.585
Tco_000798,5316,32305,75565,25862,11376,0,-2.41256088385984,0.00142468353375096,11.210168338126,0.0000235320680894568,2620.898,5713.867,2017.357,342.016,984.121
Tco_011236,2419,5531,2832,5626,1583,0,-1.34501082314751,0.00142468353375096,8.12231173502671,0.0000234972011771947,448.729,214.142,438.854,155.631,136.943
Tco_004444,700,1301,1514,1610,821,0,-1.01247207918514,0.00142468353375096,6.53466426370928,0.0000238521677596314,105.550,114.481,125.588,45.036,71.024
Tco_006337,2999,1023,843,863,1240,0,1.04653284945123,0.00228217614127296,6.68063317524478,0.0000397630970864243,82.996,63.744,67.318,192.947,107.271
Tco_017051,4011,1568,1513,1052,2190,0,1.02269719666718,0.00228217614127296,7.26686926972292,0.0000402736966106993,127.212,114.406,82.061,258.056,189.454
Tco_001508,480,832,619,1040,256,0,-1.31497340977592,0.00326500273864943,5.63828724380167,0.0000613111373999781,67.500,46.806,81.125,30.882,22.146
Tco_001875,1496,2012,2269,1761,574,0,-1.13894924170184,0.00357227589771528,6.95691709057249,0.0000678894062009239,163.233,171.571,137.366,96.248,49.656
Tco_019605,1397,1754,2731,1600,540,0,-1.24278207657198,0.00415614216387171,6.94205812760356,0.0000808661145006713,142.302,206.505,124.807,89.879,46.715
Tco_004379,1232,742,274,589,1638,0,1.37227549788911,0.00415614216387171,6.11629795093781,0.0000800946892270101,60.198,20.719,45.945,79.263,141.701
Tco_013995,2180,1079,601,565,1322,0,1.0845520357641,0.00467856728138745,6.42926233141497,0.0000939811681856289,87.539,45.445,44.073,140.255,114.364
Tco_000797,5659,35794,83088,20616,12505,0,-2.35080297367022,0.00562163088154049,11.2802842116851,0.000120826908087409,2903.960,6282.720,1608.145,364.083,1081.790
